# object_id        ra                   dec                   BD_chi2_min          BD_chi2_template   QSO_chi2_min          QSO_z                R_chi2_best             F_test_value         BIC_value            QSO_EBV   QSO_EMline   Data_Points   QSO_Par   Prioritization   r_flux                  i_flux                  z_flux                  mag_g_delve   magerr_g_delve   mag_i_delve   magerr_i_delve   mag_r_delve   magerr_r_delve   mag_z_delve   magerr_z_delve   w1mpro   w1sigmpro   w2mpro   w2sigmpro   ypetromag      ypetromagerr   jpetromag      jpetromagerr   hpetromag      hpetromagerr   kspetromag     kspetromagerr   mag_g_decals   snr_g_decals   mag_r_decals   snr_r_decals   mag_i_decals   snr_i_decals   mag_z_decals   snr_z_decals   E(B-V)                 Separation             
  10615700079340   218.21250940999866   -0.9411939577632609   28.90564384037478    MD2                1.1553155504681278    5.8                  0.03996851123082088     96.07878394318284    25.80441814085134    0.1       0.0          7.0           3.0       1.0              0.0                     0.0038414218295307013   0.009941410339215986    99.0          99.0             22.43877      0.205138         99.0          99.0             21.40638      0.112616         17.389   0.073       17.227   ""          -9.9999949E8   -9.9999949E8   20.03516       0.22106989     19.133583      0.21559961     18.217752      0.17255653      26.377531      1.9069215      23.367886      24.099234      22.407207      12.236227      21.561697      63.858177      0.04388423264026642    0.02402877515485315    
  10628200129535   208.03125930203214   -0.4289957953967019   25.978675924524598   MD2                0.41901534336499485   5.35                 0.01612920321968498     243.99737132198675   23.613750432104293   0.1       2.0          7.0           3.0       1.0              0.0                     0.00449215155554901     0.006676271660426623    99.0          99.0             22.268864     0.149835         99.0          99.0             21.838665     0.162593         17.962   0.12        16.97    0.16        20.868452      0.30435622     20.661423      0.35403475     -9.9999949E8   -9.9999949E8   19.08298       0.4647778       25.798681      1.9069898      23.561043      7.940635       22.494686      17.449692      21.947859      15.015515      0.036206625401973724   0.09795054485015993    
  10614900071295   195.27675754617363   -0.4976012391495601   26.19554577743346    MD3                1.0177088966882835    5.4                  0.0388504559261752      98.95889468069358    23.231926731689864   0.0       2.0          7.0           3.0       1.0              0.0014497863283861924   0.006849025765580533    0.009748854754393277    99.0          99.0             21.810928     0.060667         23.49674      0.268124         21.427616     0.067501         ""       ""          ""       ""          20.518354      0.19693759     20.517866      0.32977188     19.611256      0.2764515      19.341978      0.35342166      25.166119      2.556888       22.981895      15.198206      21.727486      28.389612      21.257593      30.078876      0.022916529327630997   0.0682784192658548     
  10615400117436   208.5994142741163    -0.3163171692157221   27.971383679497713   BD4                1.1128572288173675    5.7                  0.039785562329298085    96.53898363664449    24.912616301625032   0.1       -2.0         7.0           3.0       1.0              0.0                     0.0024839908972132813   0.006630196502475949    99.0          99.0             22.912125     0.194034         99.0          99.0             21.846184     0.178939         17.812   0.103       17.206   0.198       20.981466      0.32445636     20.185175      0.26374036     -9.9999949E8   -9.9999949E8   18.82284       0.27519512      25.388138      2.9863012      23.873253      6.2893357      22.713871      15.313838      21.951916      16.81055       0.03832539543509483    0.01917151366421519    
  10615000147542   198.92888145379126   0.6407096663775462    35.47288622887573    MD2                1.1181759450639386    5.65                 0.03152198943861856     153.61943008820202   32.275268742131956   0.1       2.0          8.0           3.0       1.0              0.0                     0.003869093277714796    0.006221489893914957    99.0          99.0             22.430977     0.149005         99.0          99.0             21.915264     0.15395          17.659   0.119       16.86    0.219       20.72995       0.23571435     20.495897      0.32963082     19.635578      0.26990455     18.623285      0.24473828      25.722868      2.171138       23.515865      8.655834       22.254187      15.613703      21.828205      17.459572      0.031692955642938614   0.04858283992560973    
  10614600185276   187.04326334800905   0.5043151421768499    27.493942853123915   MD2                0.935171472923913     5.6                  0.03401372723874913     113.59957889716709   24.61286123114469    0.1       0.0          7.0           3.0       1.0              0.0                     0.0029799817199544767   0.005845827554505697    99.0          99.0             22.714466     0.185997         99.0          99.0             21.982885     0.178827         17.951   0.115       17.055   0.188       -9.9999949E8   -9.9999949E8   20.54644       0.3470561      19.552391      0.31747347     18.696213      0.32138056      25.558088      2.6286924      23.292927      16.15978       22.42093       18.220985      21.953297      17.633629      0.026935195550322533   0.050201832810574554   
  10602700092698   210.28530109003688   0.9853318821192687    39.31857690784817    MD1                0.9742793210219249    4.65                 0.024779109460277907    196.7828771455745    36.26485604514641    0.1       2.0          8.0           3.0       1.0              0.0                     0.004207471665736136    0.00616123820846911     99.0          99.0             22.339947     0.129062         99.0          99.0             21.92583      0.163329         17.765   0.1         17.371   0.232       21.579508      0.561853       20.895939      0.32957032     19.813585      0.39821878     18.991638      0.29868597      25.674128      1.595937       23.788748      5.4900155      22.380867      22.012398      22.169794      9.714402       0.03560207411646843    0.06788148744826854    
  10615300151598   207.76276787878666   0.0735554836033145    26.242626119264415   MD1                0.33912758463040527   4.65                 0.012922776214894726    381.91376503425215   23.824056992954176   0.1       2.0          8.0           3.0       1.0              0.0                     0.0038795128972752783   0.006354713861138968    99.0          99.0             22.428057     0.136961         99.0          99.0             21.89226      0.190658         17.897   0.115       17.424   ""          21.587893      0.48589352     20.862873      0.3896681      19.787535      0.37139246     19.070976      0.4518995       25.563921      1.2461647      23.423933      6.6081133      22.379423      19.86044       21.813848      13.432508      0.033020276576280594   0.14125825866214406    
  10603100167939   222.44268560738217   0.3242740236140094    54.97956046067653    BD4                1.0820399732128494    5.75                 0.019680767982617205    199.24410122272417   51.951610338408365   0.1       2.0          7.0           3.0       1.0              0.0                     0.0034459549858054405   0.006345917182005182    99.0          99.0             22.556726     0.139915         99.0          99.0             21.893764     0.178593         17.585   0.08        16.686   0.127       -9.9999949E8   -9.9999949E8   20.458622      0.36871076     19.456272      0.22405161     18.620234      0.25256965      26.37942       0.99655205     23.919582      5.757775       22.492174      16.7997        21.971338      21.025866      0.045491691678762436   0.01445358101782028    
  10615500144926   212.12105837174016   0.0421484588475209    25.849935014415138   MD2                1.1735121621240552    5.75                 0.04539710298960712     105.13918666009731   22.59698131061125    0.1       0.0          8.0           3.0       1.0              0.0                     0.002861646603996168    0.005960188566162056    99.0          99.0             22.75846      0.188241         99.0          99.0             21.96185      0.160303         17.735   0.095       17.481   ""          21.091387      0.40443194     20.379522      0.3814381      19.574575      0.44819713     18.909475      0.34519386      26.193647      2.2259672      24.084875      12.447397      22.750437      13.232866      21.96516       47.819283      0.039762232452631      0.03846130868286863    
